,type,title,date,distance,time,easy,tempo,interval,long,recovery,category
0,running,easy run after sick,2018-10-12 21:10:12,5.04,34:49,True,False,False,False,False,easy
1,running,lat phrao run,2018-10-09 23:21:25,5.09,31:26,False,False,False,False,False,
2,running,lat phrao run,2018-10-07 22:21:38,11.01,1:08:30,False,False,False,False,False,
3,treadmill_running,treadmill,2018-10-06 21:24:32,2.4,30:38,False,False,False,False,False,
4,treadmill_running,treadmill,2018-10-05 21:01:16,5.07,32:19,False,False,False,False,False,
5,treadmill_running,treadmill,2018-10-04 20:51:56,3.13,30:26,False,False,False,False,False,
6,running,lat phrao run,2018-10-03 20:25:54,7.85,43:03,False,False,False,False,False,
7,running,easy run,2018-10-02 20:05:12,5.04,32:14,True,False,False,False,False,easy
8,running,chatuchak run,2018-09-30 16:08:15,4.76,29:16,False,False,False,False,False,
9,running,1600x2 800x2 run,2018-09-26 20:50:53,6.8,37:35,False,False,False,False,False,
10,running,lat phrao run,2018-09-25 20:38:42,5.2,32:03,False,False,False,False,False,
11,indoor_cycling,bike indoor,2018-09-24 16:10:28,25.54,1:01:36,False,False,False,True,False,long
12,running,tempo run,2018-09-21 17:47:33,7.31,41:09,False,True,False,False,False,tempo
13,running,interval 6 x 400m,2018-09-19 20:31:51,6.93,45:24,False,False,True,False,False,interval
14,running,interval 400x7,2018-09-18 20:40:48,7.48,44:50,False,False,True,False,False,interval
15,running,easy long run,2018-09-16 17:16:38,12.06,1:23:32,True,False,False,True,False,long
16,running,lthr test,2018-09-14 20:37:24,5.04,31:48,False,False,False,False,False,
17,indoor_cycling,bike indoor,2018-09-14 00:10:00,13.51,30:50,False,False,False,False,False,
18,running,recovery run,2018-09-11 18:13:33,4.01,32:37,False,False,False,False,True,recovery
19,running,cuca run 2018,2018-09-09 05:00:03,10.05,48:06,False,False,False,False,False,
20,running,easy run with test pace,2018-09-07 21:44:56,5.37,31:07,True,False,False,False,False,easy
21,running,interval 400x6,2018-09-05 20:19:02,6.85,38:43,False,False,True,False,False,interval
22,indoor_cycling,bike indoor,2018-09-04 22:25:00,20.05,40:29,False,False,False,True,False,long
23,running,long run (taper),2018-09-02 17:21:32,12.51,1:21:39,False,False,False,True,False,long
24,running,easy tempo,2018-08-31 20:20:33,8.1,45:21,True,True,False,False,False,tempo
25,running,lat phrao run,2018-08-29 20:07:49,9.06,52:17,False,False,False,False,False,
26,running,lat phrao run,2018-08-28 19:40:35,5.04,29:20,False,False,False,False,False,
27,running,long run,2018-08-26 18:03:48,18.19,2:00:28,False,False,False,True,False,long
28,indoor_cycling,bike / replace tempo run 8k,2018-08-24 23:31:21,53.3,1:05:17,False,True,False,True,False,tempo
29,running,interval 1.6k x3 run,2018-08-22 22:51:28,8.02,47:11,False,False,True,False,False,interval
30,running,easy run / bad data,2018-08-21 19:42:43,5.21,33:20,True,False,False,False,False,easy
31,running,long run,2018-08-19 15:40:25,25.04,2:41:38,False,False,False,True,False,long
32,running,tempo8k  run,2018-08-17 21:25:19,11.09,1:01:55,False,True,False,False,False,tempo
33,indoor_cycling,bike indoor,2018-08-15 21:11:21,30.04,46:09,False,False,False,True,False,long
34,running,easy run,2018-08-14 17:22:29,5.02,30:58,True,False,False,False,False,easy
35,running,long run 16k,2018-08-12 20:50:40,16.01,1:52:56,False,False,False,True,False,long
36,running,easy-10k,2018-08-10 06:17:46,10.04,1:01:00,True,False,False,False,False,easy
37,running,lat phrao run,2018-08-09 22:47:40,10.04,1:01:00,False,False,False,False,False,
38,running,lat phrao run,2018-08-08 18:52:05,8.12,45:44,False,False,False,False,False,
39,running,easy run,2018-08-07 19:33:54,5.07,35:20,True,False,False,False,False,easy
40,running,long run,2018-08-05 17:19:45,21.14,2:20:45,False,False,False,True,False,long
41,running,lat phrao run,2018-08-03 21:21:56,11.07,1:02:20,False,False,False,False,False,
42,running,lat phrao run,2018-08-01 18:45:10,6.09,34:52,False,False,False,False,False,
43,running,lat phrao run,2018-07-31 18:36:32,5.04,31:16,False,False,False,False,False,
44,running,long run,2018-07-29 16:40:37,16.07,1:57:27,False,False,False,True,False,long
45,running,bad tempo run,2018-07-27 11:16:48,10.02,54:34,False,True,False,False,False,tempo
46,running,interval 800m x6 rest 1:30min.,2018-07-25 16:48:38,8.93,50:13,False,False,True,False,False,interval
47,running,lat phrao run,2018-07-24 17:28:11,5.18,38:46,False,False,False,False,False,
48,running,nakhon nayok long run,2018-07-22 05:55:20,21.02,2:25:02,False,False,False,True,False,long
49,running,lat phrao run,2018-07-20 16:58:44,11.04,1:02:04,False,False,False,False,False,
50,treadmill_running,treadmill,2018-07-18 18:35:03,9.47,56:25,False,False,False,False,False,
51,running,long run,2018-07-15 20:23:29,12.56,1:16:37,False,False,False,True,False,long
52,running,lat phrao run,2018-07-13 18:01:52,10.62,1:00:09,False,False,False,False,False,
53,running,interval 8x300m  rest 3min,2018-07-11 18:24:59,5.89,46:13,False,False,True,False,False,interval
54,running,easy run,2018-07-10 16:18:36,5.05,30:21,True,False,False,False,False,easy
55,running,long run,2018-07-08 17:06:52,18.06,1:57:32,False,False,False,True,False,long
56,running,tempo 8k  run,2018-07-06 16:55:48,11.02,1:00:19,False,True,False,False,False,tempo
57,running,fartlek run,2018-07-04 19:13:02,6.38,36:47,False,False,False,False,False,
58,running,easy run,2018-07-03 17:04:13,5.12,33:47,True,False,False,False,False,easy
59,running,long run,2018-07-01 20:46:53,16.06,1:52:30,False,False,False,True,False,long
